time            x            y            
 1581683804.000   556612.945  5932613.508 
 1581683805.000   556612.945  5932613.508 
 1581683806.000   556612.945  5932613.508 
 1581683807.000   556612.879  5932613.507 
 1581683808.000   556612.814  5932613.395 
 1581683809.000   556612.681  5932613.394 
 1581683810.000   556612.683  5932613.282 
 1581683811.000   556612.616  5932613.282 
 1581683812.000   556612.683  5932613.282 
 1581683813.000   556612.683  5932613.282 
 1581683814.000   556612.748  5932613.394 
 1581683815.000   556612.748  5932613.394 
 1581683816.000   556612.680  5932613.505 
 1581683817.000   556612.680  5932613.505 
 1581683818.000   556612.745  5932613.617 
 1581683819.000   556612.611  5932613.727 
 1581683820.000   556612.543  5932613.837 
 1581683821.000   556612.476  5932613.948 
 1581683822.000   556612.542  5932613.948 
 1581683823.000   556612.542  5932613.948 
 1581683824.000   556612.542  5932613.948 
 1581683825.000   556612.608  5932613.949 
 1581683826.000   556612.608  5932613.949 
 1581683827.000   556612.608  5932613.949 
 1581683828.000   556612.608  5932613.949 
 1581683829.000   556612.608  5932613.949 
 1581683830.000   556612.676  5932613.839 
 1581683831.000   556612.610  5932613.838 
 1581683832.000   556612.610  5932613.838 
 1581683833.000   556612.610  5932613.838 
 1581683834.000   556612.611  5932613.727 
 1581683835.000   556612.612  5932613.615 
 1581683836.000   556612.480  5932613.614 
 1581683837.000   556612.480  5932613.614 
 1581683838.000   556612.415  5932613.502 
 1581683839.000   556612.415  5932613.502 
 1581683840.000   556612.414  5932613.613 
 1581683841.000   556612.282  5932613.500 
 1581683842.000   556612.217  5932613.388 
 1581683843.000   556612.217  5932613.388 
 1581683844.000   556612.151  5932613.387 
 1581683845.000   556612.152  5932613.276 
 1581683846.000   556612.152  5932613.276 
 1581683847.000   556611.955  5932613.162 
 1581683848.000   556611.956  5932613.051 
 1581683849.000   556611.824  5932613.050 
 1581683850.000   556611.494  5932612.934 
 1581683851.000   556611.230  5932612.820 
 1581683852.000   556610.968  5932612.594 
 1581683853.000   556610.835  5932612.593 
 1581683854.000   556610.635  5932612.702 
 1581683855.000   556610.371  5932612.587 
 1581683856.000   556610.106  5932612.584 
 1581683857.000   556609.776  5932612.469 
 1581683858.000   556609.445  5932612.465 
 1581683859.000   556609.115  5932612.350 
 1581683860.000   556608.785  5932612.234 
 1581683861.000   556608.388  5932612.118 
 1581683862.000   556608.057  5932612.114 
 1581683863.000   556607.661  5932611.998 
 1581683864.000   556607.331  5932611.883 
 1581683865.000   556607.001  5932611.768 
 1581683866.000   556606.605  5932611.652 
 1581683867.000   556606.273  5932611.648 
 1581683868.000   556605.876  5932611.643 
 1581683869.000   556605.481  5932611.416 
 1581683870.000   556605.086  5932611.189 
 1581683871.000   556604.756  5932611.073 
 1581683872.000   556604.361  5932610.846 
 1581683873.000   556604.031  5932610.731 
 1581683874.000   556603.701  5932610.616 
 1581683875.000   556603.304  5932610.500 
 1581683876.000   556603.043  5932610.163 
 1581683877.000   556602.715  5932609.936 
 1581683878.000   556602.385  5932609.821 
 1581683879.000   556601.987  5932609.816 
 1581683880.000   556601.658  5932609.590 
 1581683881.000   556601.396  5932609.364 
 1581683882.000   556601.135  5932609.027 
 1581683883.000   556600.806  5932608.801 
 1581683884.000   556600.479  5932608.463 
 1581683885.000   556600.215  5932608.349 
 1581683886.000   556599.886  5932608.122 
 1581683887.000   556599.558  5932607.896 
 1581683888.000   556599.229  5932607.669 
 1581683889.000   556598.965  5932607.555 
 1581683890.000   556598.637  5932607.328 
 1581683891.000   556598.308  5932607.102 
 1581683892.000   556597.912  5932606.986 
 1581683893.000   556597.583  5932606.759 
 1581683894.000   556597.253  5932606.644 
 1581683895.000   556596.858  5932606.417 
 1581683896.000   556596.529  5932606.190 
 1581683897.000   556596.199  5932606.075 
 1581683898.000   556595.804  5932605.848 
 1581683899.000   556595.474  5932605.733 
 1581683900.000   556595.146  5932605.506 
 1581683901.000   556594.749  5932605.390 
 1581683902.000   556594.421  5932605.164 
 1581683903.000   556594.091  5932605.048 
 1581683904.000   556593.761  5932604.933 
 1581683905.000   556593.500  5932604.596 
 1581683906.000   556593.237  5932604.371 
 1581683907.000   556592.976  5932604.034 
 1581683908.000   556592.649  5932603.696 
 1581683909.000   556592.318  5932603.692 
 1581683910.000   556592.051  5932603.800 
 1581683911.000   556591.720  5932603.796 
 1581683912.000   556591.388  5932603.792 
 1581683913.000   556590.992  5932603.676 
 1581683914.000   556590.597  5932603.449 
 1581683915.000   556590.267  5932603.334 
 1581683916.000   556589.939  5932603.107 
 1581683917.000   556589.544  5932602.880 
 1581683918.000   556589.215  5932602.653 
 1581683919.000   556588.886  5932602.427 
 1581683920.000   556588.622  5932602.313 
 1581683921.000   556588.294  5932602.086 
 1581683922.000   556587.898  5932601.970 
 1581683923.000   556587.635  5932601.744 
 1581683924.000   556587.306  5932601.518 
 1581683925.000   556586.978  5932601.291 
 1581683926.000   556586.648  5932601.176 
 1581683927.000   556586.316  5932601.172 
 1581683928.000   556585.988  5932600.946 
 1581683929.000   556585.659  5932600.719 
 1581683930.000   556585.330  5932600.493 
 1581683931.000   556585.002  5932600.266 
 1581683932.000   556584.673  5932600.040 
 1581683933.000   556584.411  5932599.814 
 1581683934.000   556584.082  5932599.588 
 1581683935.000   556583.753  5932599.361 
 1581683936.000   556583.425  5932599.135 
 1581683937.000   556583.096  5932598.908 
 1581683938.000   556582.767  5932598.682 
 1581683939.000   556582.439  5932598.455 
 1581683940.000   556582.176  5932598.230 
 1581683941.000   556581.780  5932598.114 
 1581683942.000   556581.450  5932597.999 
 1581683943.000   556581.120  5932597.883 
 1581683944.000   556580.791  5932597.657 
 1581683945.000   556580.461  5932597.542 
 1581683946.000   556580.132  5932597.315 
 1581683947.000   556579.802  5932597.200 
 1581683948.000   556579.472  5932597.085 
 1581683949.000   556579.076  5932596.969 
 1581683950.000   556578.814  5932596.743 
 1581683951.000   556578.549  5932596.740 
 1581683952.000   556578.217  5932596.736 
 1581683953.000   556577.887  5932596.621 
 1581683954.000   556577.491  5932596.505 
 1581683955.000   556577.161  5932596.389 
 1581683956.000   556576.831  5932596.274 
 1581683957.000   556576.433  5932596.269 
 1581683958.000   556576.103  5932596.154 
 1581683959.000   556575.838  5932596.151 
 1581683960.000   556575.706  5932596.149 
 1581683961.000   556575.772  5932596.150 
 1581683962.000   556575.838  5932596.151 
 1581683963.000   556575.969  5932596.264 
 1581683964.000   556576.036  5932596.265 
 1581683965.000   556575.834  5932596.485 
 1581683966.000   556575.634  5932596.594 
 1581683967.000   556575.234  5932596.811 
 1581683968.000   556574.834  5932597.029 
 1581683969.000   556574.432  5932597.358 
 1581683970.000   556574.097  5932597.688 
 1581683971.000   556573.696  5932597.906 
 1581683972.000   556573.361  5932598.235 
 1581683973.000   556572.961  5932598.453 
 1581683974.000   556572.560  5932598.671 
 1581683975.000   556572.226  5932598.889 
 1581683976.000   556571.892  5932599.108 
 1581683977.000   556571.492  5932599.326 
 1581683978.000   556571.158  5932599.544 
 1581683979.000   556570.824  5932599.763 
 1581683980.000   556570.424  5932599.980 
 1581683981.000   556570.090  5932600.199 
 1581683982.000   556569.756  5932600.417 
 1581683983.000   556569.422  5932600.636 
 1581683984.000   556569.088  5932600.855 
 1581683985.000   556568.754  5932601.073 
 1581683986.000   556568.420  5932601.292 
 1581683987.000   556568.086  5932601.510 
 1581683988.000   556567.818  5932601.729 
 1581683989.000   556567.484  5932601.948 
 1581683990.000   556567.150  5932602.166 
 1581683991.000   556566.816  5932602.385 
 1581683992.000   556566.482  5932602.604 
 1581683993.000   556566.148  5932602.822 
 1581683994.000   556565.814  5932603.041 
 1581683995.000   556565.480  5932603.259 
 1581683996.000   556565.146  5932603.478 
 1581683997.000   556564.812  5932603.696 
 1581683998.000   556564.478  5932603.915 
 1581683999.000   556564.143  5932604.244 
 1581684000.000   556563.809  5932604.463 
 1581684001.000   556563.475  5932604.682 
 1581684002.000   556563.140  5932604.900 
 1581684003.000   556562.806  5932605.119 
 1581684004.000   556562.471  5932605.448 
 1581684005.000   556562.203  5932605.668 
 1581684006.000   556561.869  5932605.886 
 1581684007.000   556561.535  5932606.105 
 1581684008.000   556561.268  5932606.324 
 1581684009.000   556560.932  5932606.654 
 1581684010.000   556560.665  5932606.873 
 1581684011.000   556560.331  5932607.092 
 1581684012.000   556560.063  5932607.311 
 1581684013.000   556559.729  5932607.530 
 1581684014.000   556559.460  5932607.860 
 1581684015.000   556559.126  5932608.079 
 1581684016.000   556558.858  5932608.298 
 1581684017.000   556558.524  5932608.516 
 1581684018.000   556558.255  5932608.847 
 1581684019.000   556557.921  5932609.066 
 1581684020.000   556557.653  5932609.285 
 1581684021.000   556557.452  5932609.505 
 1581684022.000   556557.571  5932610.619 
 1581684023.000   556558.367  5932610.517 
 1581684024.000   556557.782  5932609.620 
 1581684025.000   556558.244  5932609.737 
 1581684026.000   556557.515  5932609.728 
 1581684027.000   556557.837  5932610.511 
 1581684028.000   556557.572  5932610.508 
 1581684029.000   556557.167  5932611.171 
 1581684030.000   556556.695  5932611.832 
 1581684031.000   556556.624  5932612.165 
 1581684032.000   556556.357  5932612.385 
 1581684033.000   556556.024  5932612.492 
 1581684034.000   556555.759  5932612.489 
 1581684035.000   556556.155  5932612.605 
 1581684036.000   556557.217  5932612.506 
 1581684037.000   556558.339  5932612.854 
 1581684038.000   556557.671  5932613.291 
 1581684039.000   556558.134  5932613.407 
 1581684040.000   556558.199  5932613.519 
 1581684041.000   556557.992  5932614.185 
 1581684042.000   556557.197  5932614.175 
 1581684043.000   556557.001  5932613.950 
 1581684044.000   556556.669  5932613.946 
 1581684045.000   556556.607  5932613.612 
 1581684046.000   556556.138  5932614.051 
 1581684047.000   556555.879  5932613.492 
 1581684048.000   556555.819  5932613.046 
 1581684049.000   556555.817  5932613.157 
 1581684050.000   556555.417  5932613.375 
 1581684051.000   556555.083  5932613.593 
 1581684052.000   556555.014  5932613.815 
 1581684053.000   556554.814  5932613.924 
 1581684054.000   556554.615  5932613.922 
 1581684055.000   556554.549  5932613.921 
 1581684056.000   556554.483  5932613.920 
 1581684057.000   556554.282  5932614.029 
 1581684058.000   556554.285  5932613.806 
 1581684059.000   556554.151  5932613.916 
 1581684060.000   556553.954  5932613.802 
 1581684061.000   556553.889  5932613.690 
 1581684062.000   556553.821  5932613.801 
 1581684063.000   556553.820  5932613.912 
 1581684064.000   556553.751  5932614.134 
 1581684065.000   556553.748  5932614.356 
 1581684066.000   556553.747  5932614.468 
 1581684067.000   556553.744  5932614.690 
 1581684068.000   556553.810  5932614.691 
 1581684069.000   556553.812  5932614.580 
 1581684070.000   556553.813  5932614.468 
 1581684071.000   556553.881  5932614.358 
 1581684072.000   556553.881  5932614.358 
 1581684073.000   556553.882  5932614.247 
 1581684074.000   556554.081  5932614.249 
 1581684075.000   556554.212  5932614.362 
 1581684076.000   556554.276  5932614.585 
 1581684077.000   556554.205  5932614.918 
 1581684078.000   556554.070  5932615.139 
 1581684079.000   556553.935  5932615.360 
 1581684080.000   556553.867  5932615.470 
 1581684081.000   556553.601  5932615.578 
 1581684082.000   556553.601  5932615.578 
 1581684083.000   556553.601  5932615.578 
 1581684084.000   556553.667  5932615.579 
 1581684085.000   556553.667  5932615.579 
 1581684086.000   556553.736  5932615.357 
 1581684087.000   556553.805  5932615.136 
 1581684088.000   556553.742  5932614.913 
 1581684089.000   556553.612  5932614.688 
 1581684090.000   556553.482  5932614.464 
 1581684091.000   556553.484  5932614.242 
 1581684092.000   556553.420  5932614.130 
 1581684093.000   556553.486  5932614.131 
 1581684094.000   556553.549  5932614.354 
 1581684095.000   556553.549  5932614.354 
 1581684096.000   556553.617  5932614.243 
 1581684097.000   556553.617  5932614.243 
 1581684098.000   556553.617  5932614.243 
 1581684099.000   556553.817  5932614.135 
 1581684100.000   556554.020  5932613.803 
 1581684101.000   556554.288  5932613.584 
 1581684102.000   556554.623  5932613.254 
 1581684103.000   556554.957  5932613.036 
 1581684104.000   556555.292  5932612.706 
 1581684105.000   556555.559  5932612.598 
 1581684106.000   556555.693  5932612.488 
 1581684107.000   556555.694  5932612.377 
 1581684108.000   556555.494  5932612.486 
 1581684109.000   556555.494  5932612.486 
 1581684110.000   556555.560  5932612.486 
 1581684111.000   556555.825  5932612.490 
 1581684112.000   556556.090  5932612.493 
 1581684113.000   556556.488  5932612.498 
 1581684114.000   556556.818  5932612.613 
 1581684115.000   556557.282  5932612.618 
 1581684116.000   556557.744  5932612.735 
 1581684117.000   556557.943  5932612.738 
 1581684118.000   556558.208  5932612.741 
 1581684119.000   556558.540  5932612.745 
 1581684120.000   556558.805  5932612.748 
 1581684121.000   556559.136  5932612.752 
 1581684122.000   556559.534  5932612.757 
 1581684123.000   556559.864  5932612.872 
 1581684124.000   556560.261  5932612.877 
 1581684125.000   556560.725  5932612.882 
 1581684126.000   556561.058  5932612.775 
 1581684127.000   556561.190  5932612.776 
 1581684128.000   556561.190  5932612.776 
 1581684129.000   556561.124  5932612.776 
 1581684130.000   556561.124  5932612.776 
 1581684131.000   556561.255  5932612.888 
 1581684132.000   556561.519  5932613.003 
 1581684133.000   556561.781  5932613.229 
 1581684134.000   556562.044  5932613.454 
 1581684135.000   556562.306  5932613.680 
 1581684136.000   556562.635  5932613.906 
 1581684137.000   556562.965  5932614.022 
 1581684138.000   556563.227  5932614.247 
 1581684139.000   556563.556  5932614.474 
 1581684140.000   556563.886  5932614.589 
 1581684141.000   556564.216  5932614.704 
 1581684142.000   556564.545  5932614.931 
 1581684143.000   556564.876  5932614.935 
 1581684144.000   556565.206  5932615.050 
 1581684145.000   556565.537  5932615.054 
 1581684146.000   556565.867  5932615.169 
 1581684147.000   556566.197  5932615.284 
 1581684148.000   556566.527  5932615.399 
 1581684149.000   556566.857  5932615.515 
 1581684150.000   556567.189  5932615.519 
 1581684151.000   556567.585  5932615.635 
 1581684152.000   556567.849  5932615.749 
 1581684153.000   556568.046  5932615.863 
 1581684154.000   556568.310  5932615.977 
 1581684155.000   556568.641  5932615.981 
 1581684156.000   556568.971  5932616.096 
 1581684157.000   556569.303  5932616.100 
 1581684158.000   556569.566  5932616.215 
 1581684159.000   556569.896  5932616.330 
 1581684160.000   556570.160  5932616.444 
 1581684161.000   556570.492  5932616.448 
 1581684162.000   556570.822  5932616.564 
 1581684163.000   556571.219  5932616.568 
 1581684164.000   556571.484  5932616.572 
 1581684165.000   556571.684  5932616.463 
 1581684166.000   556572.016  5932616.467 
 1581684167.000   556572.280  5932616.581 
 1581684168.000   556572.610  5932616.696 
 1581684169.000   556572.941  5932616.700 
 1581684170.000   556573.337  5932616.816 
 1581684171.000   556573.667  5932616.931 
 1581684172.000   556573.997  5932617.047 
 1581684173.000   556574.395  5932617.051 
 1581684174.000   556574.725  5932617.167 
 1581684175.000   556575.055  5932617.282 
 1581684176.000   556575.385  5932617.397 
 1581684177.000   556575.715  5932617.512 
 1581684178.000   556576.046  5932617.516 
 1581684179.000   556576.376  5932617.632 
 1581684180.000   556576.706  5932617.747 
 1581684181.000   556577.038  5932617.751 
 1581684182.000   556577.434  5932617.867 
 1581684183.000   556577.765  5932617.871 
 1581684184.000   556578.096  5932617.875 
 1581684185.000   556578.427  5932617.990 
 1581684186.000   556578.758  5932617.994 
 1581684187.000   556579.023  5932617.997 
 1581684188.000   556579.289  5932617.889 
 1581684189.000   556579.554  5932617.892 
 1581684190.000   556579.955  5932617.674 
 1581684191.000   556580.287  5932617.567 
 1581684192.000   556580.621  5932617.349 
 1581684193.000   556580.954  5932617.241 
 1581684194.000   556581.287  5932617.134 
 1581684195.000   556581.619  5932617.027 
 1581684196.000   556581.886  5932616.919 
 1581684197.000   556582.285  5932616.812 
 1581684198.000   556582.485  5932616.703 
 1581684199.000   556582.685  5932616.594 
 1581684200.000   556583.018  5932616.487 
 1581684201.000   556583.350  5932616.380 
 1581684202.000   556583.617  5932616.272 
 1581684203.000   556583.617  5932616.272 
 1581684204.000   556583.617  5932616.272 
 1581684205.000   556583.814  5932616.386 
 1581684206.000   556584.078  5932616.500 
 1581684207.000   556584.275  5932616.614 
 1581684208.000   556584.538  5932616.839 
 1581684209.000   556584.802  5932616.954 
 1581684210.000   556585.130  5932617.180 
 1581684211.000   556585.394  5932617.295 
 1581684212.000   556585.724  5932617.410 
 1581684213.000   556586.054  5932617.525 
 1581684214.000   556586.384  5932617.640 
 1581684215.000   556586.648  5932617.755 
 1581684216.000   556586.978  5932617.870 
 1581684217.000   556587.374  5932617.986 
 1581684218.000   556587.704  5932618.101 
 1581684219.000   556588.034  5932618.216 
 1581684220.000   556588.365  5932618.220 
 1581684221.000   556588.696  5932618.336 
 1581684222.000   556589.026  5932618.451 
 1581684223.000   556589.356  5932618.566 
 1581684224.000   556589.686  5932618.681 
 1581684225.000   556590.017  5932618.685 
 1581684226.000   556590.413  5932618.801 
 1581684227.000   556590.745  5932618.805 
 1581684228.000   556591.075  5932618.920 
 1581684229.000   556591.405  5932619.036 
 1581684230.000   556591.736  5932619.040 
 1581684231.000   556592.066  5932619.155 
 1581684232.000   556592.328  5932619.380 
 1581684233.000   556592.657  5932619.607 
 1581684234.000   556592.921  5932619.721 
 1581684235.000   556593.251  5932619.837 
 1581684236.000   556593.514  5932619.951 
 1581684237.000   556593.777  5932620.177 
 1581684238.000   556594.107  5932620.292 
 1581684239.000   556594.369  5932620.518 
 1581684240.000   556594.699  5932620.633 
 1581684241.000   556595.029  5932620.748 
 1581684242.000   556595.292  5932620.974 
 1581684243.000   556595.622  5932621.089 
 1581684244.000   556595.884  5932621.315 
 1581684245.000   556596.148  5932621.429 
 1581684246.000   556596.477  5932621.655 
 1581684247.000   556596.740  5932621.770 
 1581684248.000   556597.069  5932621.996 
 1581684249.000   556597.333  5932622.111 
 1581684250.000   556597.596  5932622.225 
 1581684251.000   556597.925  5932622.452 
 1581684252.000   556598.189  5932622.566 
 1581684253.000   556598.518  5932622.793 
 1581684254.000   556598.781  5932622.907 
 1581684255.000   556598.979  5932623.021 
 1581684256.000   556599.045  5932623.021 
 1581684257.000   556599.045  5932623.021 
 1581684258.000   556599.179  5932622.912 
 1581684259.000   556599.179  5932622.912 
 1581684260.000   556599.245  5932622.913 
 1581684261.000   556599.245  5932622.913 
 1581684262.000   556599.245  5932622.913 
 1581684263.000   556599.246  5932622.801 
 1581684264.000   556599.246  5932622.801 
 1581684265.000   556599.182  5932622.689 
 1581684266.000   556599.250  5932622.468 
 1581684267.000   556599.453  5932622.136 
 1581684268.000   556599.721  5932621.917 
 1581684269.000   556599.990  5932621.586 
 1581684270.000   556600.192  5932621.366 
 1581684271.000   556600.394  5932621.035 
 1581684272.000   556600.597  5932620.703 
 1581684273.000   556600.732  5932620.483 
 1581684274.000   556600.869  5932620.150 
 1581684275.000   556601.005  5932619.818 
 1581684276.000   556601.142  5932619.486 
 1581684277.000   556601.344  5932619.266 
 1581684278.000   556601.546  5932618.935 
 1581684279.000   556601.748  5932618.715 
 1581684280.000   556601.884  5932618.382 
 1581684281.000   556602.020  5932618.161 
